id,category
0,4
1,4
2,1
3,0
4,4
5,2
6,4
7,4
8,4
9,0
10,0
11,1
12,1
13,1
14,4
15,0
16,3
17,1
18,0
19,1
20,1
21,4
22,4
23,4
24,0
25,4
26,4
27,1
28,4
29,4
30,0
31,4
32,3
33,4
34,4
35,2
36,1
37,0
38,0
39,4
40,4
41,4
42,2
43,2
44,0
45,2
46,3
47,2
48,4
49,4
50,4
51,2
52,4
53,3
54,0
55,0
56,0
57,0
58,2
59,0
60,0
61,0
62,0
63,4
64,0
65,4
66,2
67,1
68,2
69,4
70,4
71,1
72,3
73,4
74,3
75,4
76,4
77,4
78,4
79,1
80,1
81,3
82,2
83,4
84,4
85,3
86,0
87,3
88,1
89,0
90,4
91,1
92,2
93,0
94,2
95,3
96,2
97,4
98,1
99,3
100,1
101,0
102,0
103,3
104,0
105,1
106,4
107,2
108,3
109,4
110,3
111,1
112,3
113,0
114,0
115,3
116,1
117,2
118,3
119,0
120,4
121,4
122,0
123,2
124,1
125,3
126,3
127,3
128,3
129,3
130,0
131,0
132,4
133,0
134,3
135,4
136,3
137,1
138,4
139,4
140,0
141,0
142,4
143,4
144,3
145,1
146,1
147,1
148,1
149,4
150,4
151,0
152,3
153,2
154,1
155,4
156,3
157,4
158,0
159,2
160,3
161,3
162,0
163,0
164,1
165,3
166,2
167,0
168,3
169,1
170,0
171,3
172,2
173,0
174,3
175,4
176,3
177,4
178,0
179,3
180,4
181,3
182,3
183,3
184,2
185,1
186,4
187,0
188,3
189,1
190,1
191,1
192,3
193,0
194,3
195,0
196,3
197,0
198,4
199,0
200,0
201,0
202,2
203,4
204,2
205,0
206,2
207,4
208,2
209,4
210,3
211,4
212,0
213,0
214,0
215,3
216,2
217,3
218,3
219,0
220,2
221,2
222,2
223,3
224,3
225,1
226,4
227,0
228,2
229,0
230,4
231,0
232,3
233,4
234,1
235,3
236,0
237,4
238,3
239,1
240,1
241,0
242,0
243,4
244,3
245,0
246,1
247,2
248,0
249,4
250,2
251,0
252,4
253,2
254,3
255,4
256,4
257,0
258,3
259,3
260,0
261,2
262,4
263,4
264,1
265,1
266,1
267,0
268,2
269,4
270,1
271,1
272,1
273,4
274,2
275,1
276,4
277,3
278,4
279,3
280,2
281,3
282,0
283,1
284,0
285,4
286,0
287,1
288,0
289,0
290,3
291,1
292,2
293,0
294,3
295,1
296,0
297,1
298,4
299,4
300,1
301,4
302,0
303,3
304,0
305,0
306,2
307,1
308,3
309,0
310,2
311,1
312,3
313,0
314,1
315,2
316,0
317,0
318,0
319,4
320,3
321,3
322,0
323,3
324,1
325,0
326,1
327,1
328,1
329,0
330,4
331,2
332,0
333,1
334,1
335,1
336,3
337,3
338,2
339,2
340,3
341,3
342,1
343,0
344,0
345,2
346,0
347,1
348,1
349,2
350,1
351,0
352,1
353,4
354,2
355,3
356,2
357,1
358,1
359,2
360,1
361,1
362,3
363,1
364,2
365,3
366,0
367,0
368,0
369,3
370,1
371,0
372,4
373,2
374,1
375,0
376,0
377,1
378,3
379,4
380,3
381,3
382,4
383,1
384,0
385,1
386,4
387,4
388,3
389,1
390,0
391,3
392,4
393,3
394,1
395,1
396,0
397,1
398,0
399,3
400,1
401,0
402,3
403,0
404,3
405,1
406,0
407,1
408,0
409,3
410,1
411,3
412,4
413,1
414,4
415,1
416,3
417,1
418,3
419,1
420,3
421,4
422,3
423,1
424,0
425,3
426,3
427,0
428,3
429,1
430,4
431,3
432,3
433,0
434,0
435,3
436,3
437,3
438,1
439,0
440,3
441,0
442,0
443,1
444,0
445,2
446,0
447,1
448,2
449,0
450,0
451,3
452,3
453,0
454,3
455,0
456,0
457,0
458,2
459,3
460,2
461,0
462,0
463,0
464,3
465,4
466,1
467,0
468,2
469,4
470,0
471,0
472,2
473,0
474,0
475,0
476,1
477,4
478,0
479,3
480,0
481,3
482,1
483,4
484,3
485,0
486,1
487,0
488,0
489,0
490,1
491,2
492,4
493,1
494,2
495,2
496,0
497,0
498,3
499,1
500,3
501,0
502,0
503,3
504,0
505,2
506,0
507,0
508,3
509,0
510,0
511,0
512,3
513,0
514,0
515,2
516,1
517,0
518,0
519,0
520,1
521,0
522,3
523,4
524,4
525,3
526,0
527,1
528,2
529,4
530,3
531,0
532,0
533,2
534,0
535,1
536,1
537,1
538,0
539,4
540,3
541,1
542,0
543,2
544,0
545,1
546,0
547,0
548,2
549,3
550,1
551,3
552,3
553,1
554,4
555,2
556,3
557,4
558,3
559,0
560,0
561,0
562,0
563,3
564,4
565,3
566,4
567,3
568,0
569,0
570,3
571,3
572,0
573,4
574,0
575,3
576,0
577,3
578,0
579,4
580,1
581,3
582,4
583,3
584,2
585,1
586,3
587,4
588,3
589,4
590,2
591,2
592,2
593,4
594,1
595,4
596,1
597,3
598,3
599,3
600,4
601,2
602,3
603,3
604,0
605,0
606,2
607,1
608,0
609,0
610,0
611,3
612,0
613,1
614,3
615,0
616,2
617,3
618,1
619,3
620,0
621,0
622,4
623,0
624,4
625,0
626,1
627,0
628,0
629,1
630,0
631,1
632,1
633,1
634,0
635,1
636,2
637,2
638,0
639,4
640,0
641,0
642,0
643,0
644,3
645,2
646,0
647,4
648,0
649,4
650,0
651,1
652,0
653,4
654,0
655,2
656,1
657,0
658,4
659,3
660,1
661,1
662,0
663,0
664,3
665,4
666,1
667,0
668,0
669,1
670,0
671,0
672,0
673,4
674,3
675,3
676,3
677,0
678,3
679,0
680,3
681,0
682,1
683,0
684,0
685,0
686,4
687,4
688,3
689,0
690,3
691,0
692,2
693,3
694,0
695,0
696,4
697,1
698,4
699,3
700,3
701,0
702,0
703,3
704,3
705,0
706,0
707,0
708,4
709,4
710,1
711,1
712,4
713,2
714,0
715,4
716,4
717,3
718,1
719,4
720,1
721,1
722,2
723,0
724,1
725,0
726,0
727,1
728,1
729,3
730,2
731,1
732,1
733,4
734,0
735,3
736,4
737,0
738,0
739,1
740,1
741,0
742,2
743,1
744,0
745,0
746,3
747,3
748,1
749,0
750,2
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,0
759,3
760,1
761,0
762,0
763,0
764,0
765,4
766,0
767,4
768,0
769,0
770,3
771,4
772,1
773,0
774,3
775,4
776,3
777,0
778,1
779,4
780,0
781,1
782,3
783,0
784,2
785,1
786,0
787,3
788,3
789,0
790,3
791,4
792,3
793,1
794,1
795,1
796,3
797,4
798,0
799,1
800,1
801,0
802,3
803,4
804,3
805,2
806,0
807,0
808,0
809,3
810,3
811,4
812,0
813,3
814,0
815,0
816,3
817,0
818,0
819,4
820,0
821,4
822,1
823,0
824,3
825,4
826,0
827,0
828,0
829,4
830,0
831,0
832,1
833,1
834,0
835,0
836,0
837,0
838,3
839,4
840,3
841,0
842,4
843,3
844,1
845,1
846,0
847,1
848,2
849,3
850,4
851,4
852,4
853,3
854,0
855,0
856,4
857,3
858,0
859,0
860,0
861,0
862,0
863,0
864,3
865,3
866,3
867,0
868,1
869,0
870,0
871,0
872,4
873,4
874,1
875,4
876,4
877,0
878,1
879,0
880,1
881,0
882,4
883,3
884,2
885,0
886,4
887,4
888,0
889,4
890,4
891,3
892,2
893,4
894,1
895,3
896,1
897,3
898,1
899,1
900,2
901,2
902,2
903,3
904,3
905,0
906,0
907,3
908,0
909,3
910,2
911,4
912,0
913,0
914,0
915,1
916,0
917,0
918,1
919,3
920,0
921,0
922,0
923,4
924,1
925,0
926,0
927,0
928,1
929,4
930,1
931,0
932,0
933,2
934,0
935,1
936,0
937,2
938,2
939,1
940,3
941,3
942,1
943,3
944,0
945,3
946,1
947,0
948,1
949,1
950,3
951,4
952,1
953,0
954,3
955,0
956,1
957,3
958,3
959,0
960,0
961,0
962,3
963,3
964,0
965,3
966,0
967,3
968,1
969,1
970,0
971,3
972,0
973,0
974,2
975,0
976,0
977,0
978,1
979,1
980,3
981,0
982,3
983,0
984,0
985,3
986,0
987,3
988,1
989,4
990,4
991,1
992,4
993,0
994,4
995,1
996,4
997,0
998,4
999,0
1000,4
1001,2
1002,0
1003,0
1004,0
1005,4
1006,3
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,0
1014,3
1015,0
1016,0
1017,0
1018,4
1019,0
1020,0
1021,0
1022,0
1023,1
1024,0
1025,3
1026,0
1027,0
1028,4
1029,0
1030,1
1031,1
1032,1
1033,0
1034,2
1035,1
1036,4
1037,3
1038,1
1039,0
1040,0
1041,3
1042,1
1043,2
1044,3
1045,3
1046,0
1047,0
1048,1
1049,0
1050,0
1051,4
1052,4
1053,0
1054,1
1055,3
1056,1
1057,1
1058,0
1059,4
1060,0
1061,0
1062,1
1063,1
1064,0
1065,0
1066,4
1067,1
1068,0
1069,4
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,1
1077,3
1078,0
1079,3
1080,0
1081,1
1082,1
1083,2
1084,3
1085,2
1086,1
1087,2
1088,3
1089,3
1090,0
1091,3
1092,1
1093,0
1094,4
1095,0
1096,0
1097,0
1098,0
1099,1
1100,4
1101,0
1102,1
1103,0
1104,0
1105,0
1106,4
1107,0
1108,1
1109,0
1110,4
1111,1
1112,4
1113,0
1114,4
1115,2
1116,1
1117,3
1118,4
1119,2
1120,0
1121,0
1122,3
1123,2
1124,0
1125,4
1126,0
1127,0
1128,4
1129,0
1130,0
1131,0
1132,3
1133,0
1134,3
1135,3
1136,0
1137,0
1138,0
1139,0
1140,1
1141,2
1142,2
1143,2
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,3
1151,1
1152,2
1153,0
1154,1
1155,3
1156,2
1157,3
1158,0
1159,3
1160,4
1161,0
1162,0
1163,0
1164,3
1165,1
1166,1
1167,0
1168,0
1169,3
1170,0
1171,0
1172,3
1173,3
1174,0
1175,0
1176,0
1177,1
1178,0
1179,3
1180,3
1181,3
1182,0
1183,0
1184,3
1185,0
1186,0
1187,0
1188,3
1189,0
1190,0
1191,3
1192,4
1193,1
1194,3
1195,1
1196,0
1197,3
1198,0
1199,1
1200,0
1201,3
1202,4
1203,3
1204,1
1205,3
1206,3
1207,3
1208,1
1209,0
1210,0
1211,1
1212,1
1213,0
1214,3
1215,4
1216,0
1217,0
1218,1
1219,0
1220,0
1221,3
1222,1
1223,0
1224,2
1225,4
1226,0
1227,3
